"name" "state" "reads_raw" "reads_passed_filter" "refseq_mapped_reads" "refseq_unmapped_reads" "clusters_total" "clusters_hidepth" "hetero_est" "error_est" "reads_consens" "loci_in_assembly" "sites" "site_simple"
"P3_A12_GRH_RUM_TER_SA" 7 4901325 4899379 2570189 2329190 173055 72321 0.006174 0.000946 65738 51238 "GRH_RUM" "GRH"
"P3_B01_ROW_S1_SA" 7 2234035 2231462 1205329 1026133 168520 63801 0.004092 0.000757 56887 42316 "ROW_S1" "ROW"
"P3_B03_BEL_ROS_SA" 7 2136382 2135724 1135118 1000606 140501 56130 0.003852 0.000772 53057 43697 "BEL_ROS" "BEL"
"P3_B05_ROW_S1_SA" 7 907853 907488 470758 436730 96336 27592 0.002296 0.000682 26191 22545 "ROW_S1" "ROW"
"P3_B06_ROW_S1_SA" 7 2584497 2583871 1343520 1240351 56573 28724 0.001144 0.000689 28476 25008 "ROW_S1" "ROW"
"P3_B08_RUM_S1_SA" 7 1438915 1438508 747154 691354 103803 39953 0.00345 0.00072 38463 35832 "RUM_S1" "RUM"
"P3_B09_BEL_LBE_SA" 7 1504645 1503981 796214 707767 106641 40338 0.003503 0.000718 39017 36541 "BEL_LBE" "BEL"
"P3_B10_BEL_LBE_SA" 7 2361742 2361095 1238960 1122135 111506 51497 0.003778 0.000708 50203 45327 "BEL_LBE" "BEL"
"P3_B11_GRH_PIS_STA_SA" 7 707181 706775 361640 345135 84478 21114 0.002954 0.000727 20086 18644 "GRH_PIS" "GRH"
"P3_B12_GRH_RUM_TER_SA" 7 1246863 1246454 639012 607442 79181 27036 0.003634 0.000967 25980 23521 "GRH_RUM" "GRH"
"P3_C01_ROW_S1_SA" 7 2058407 2057425 1102375 955050 82452 29741 0.000891 0.000691 29124 24011 "ROW_S1" "ROW"
"P3_C03_BEL_ROS_SA" 7 2535557 2534332 1319165 1215167 131030 50080 0.003684 0.00076 48054 42715 "BEL_ROS" "BEL"
"P3_C05_ROW_S1_SA" 7 1683393 1682897 901630 781267 142844 49268 0.003505 0.000783 45803 38634 "ROW_S1" "ROW"
"P3_C07_RUM_S1_SA" 7 3664054 3662797 1895380 1767417 147627 63639 0.003431 0.000708 60451 48689 "RUM_S1" "RUM"
"P3_C09_BEL_LBE_SA" 7 2380079 2378938 1249322 1129616 151341 57948 0.00414 0.000764 54265 45217 "BEL_LBE" "BEL"
"P3_C10_BEL_LBE_SA" 7 4653336 4651221 2362020 2289201 159367 65725 0.003957 0.000728 61836 51007 "BEL_LBE" "BEL"
"P3_C12_GRH_PIS_PAT_SA" 7 1769683 1769107 925055 844052 114554 46900 0.005617 0.000907 44239 40681 "GRH_PIS" "GRH"
"P3_D03_BEL_ROS_SA" 7 3381791 3380356 1739556 1640800 147456 59094 0.003961 0.000704 55541 46274 "BEL_ROS" "BEL"
"P3_D05_ROW_S1_SA" 7 3220816 3219718 1684681 1535037 169723 70283 0.004167 0.000748 64436 49666 "ROW_S1" "ROW"
"P3_D06_RUM_S1_SA" 7 2181661 2180854 1112123 1068731 125019 50846 0.002012 0.000716 48974 41283 "RUM_S1" "RUM"
"P3_D07_RUM_S1_SA" 7 1791671 1790948 950771 840177 128929 47207 0.003399 0.000726 44749 40093 "RUM_S1" "RUM"
"P3_D08_RUM_S1_SA" 7 725895 725736 373468 352268 83846 24046 0.003808 0.000716 22776 21721 "RUM_S1" "RUM"
"P3_D09_BEL_LBE_SA" 7 2490608 2489978 1365524 1124454 137909 59932 0.003949 0.000736 57126 47989 "BEL_LBE" "BEL"
"P3_D10_BEL_LBE_SA" 7 3611224 3609748 1795226 1814522 150885 61743 0.004082 0.000739 58483 49910 "BEL_LBE" "BEL"
"P3_D11_GRH_RUM_HAM_SA" 7 584634 583971 314211 269760 73102 17582 0.001912 0.000709 16916 15261 "GRH_RUM" "GRH"
"P3_D12_GRH_PIS_STA_SA" 7 1912226 1911241 992050 919191 118564 44362 0.003354 0.000768 42547 38063 "GRH_PIS" "GRH"
"P3_E02_BEL_ROS_SA" 7 1605508 1604428 830901 773527 114369 41250 0.001938 0.000744 40043 36835 "BEL_ROS" "BEL"
"P3_E03_BEL_ROS_SA" 7 2481445 2480469 1331584 1148885 151593 58391 0.006049 0.000899 53758 46134 "BEL_ROS" "BEL"
"P3_E04_BEL_LBE_SA" 7 1351691 1351245 709198 642047 81543 35366 0.002079 0.000715 34694 29859 "BEL_LBE" "BEL"
"P3_E05_ROW_S1_SA" 7 2568960 2567955 1348591 1219364 141026 56094 0.002434 0.000684 53182 44974 "ROW_S1" "ROW"
"P3_E06_RUM_S1_SA" 7 3303989 3302823 1725508 1577315 129606 54067 0.003493 0.000731 52241 45949 "RUM_S1" "RUM"
"P3_E07_RUM_S1_SA" 7 1479832 1479383 763530 715853 120948 42376 0.005277 0.000908 39523 36153 "RUM_S1" "RUM"
"P3_E08_RUM_S1_SA" 7 1750956 1750234 882787 867447 143561 47936 0.003086 0.00075 44321 35154 "RUM_S1" "RUM"
