name  state  reads_raw  reads_passed_filter  refseq_mapped_reads  refseq_unmapped_reads  clusters_total  clusters_hidepth  hetero_est  error_est  reads_consens  loci_in_assembly
P4_H09_BEL_LBE_SP          7    2577845              2576842               527032                2049810           18609              8427    0.003752   0.000744           8061              5272
P4_H10_BEL_KEY_SP          7     864953               864762               178747                 686015           15639              6501    0.007768   0.001097           6073              4458
P5_A01_GRH_RUM_FAR_SP      7    3006306              3005062               507334                2497728           22024              8843    0.005213   0.000785           8293              5647
P5_A02_GRH_PIS_LAW_SP      7    1124331              1124015               221854                 902161           16539              6704    0.004216   0.000871           6389              4825
P5_A03_GRH_PIS_STA_SP      7    3275478              3273597               681801                2591796           20673              8671    0.004053   0.000740           8208              5380
P5_A04_GRH_BEL_KEY_SP      7    1888963              1888263               402115                1486148           19834              8219    0.003836   0.000821           7799              5167
P5_A05_GRH_BEL_KEY_SP      7    1229263              1228753               246213                 982540           17733              7802    0.003793   0.000808           7435              4842
P5_A06_GRH_BEL_KEY_SP      7     525277               525167               107246                 417921           11260              4768    0.002901   0.000866           4595              3325
P5_A07_GRH_PIS_STA_SP      7     690676               690482               144178                 546304           13591              5773    0.003850   0.000844           5512              4338
P5_A08_GRH_RUM_TER_SP      7    1285329              1284810               269541                1015269           15223              5916    0.003520   0.000775           5662              4413
P5_A09_GRH_PIS_LAW_SP      7    1689631              1688775               358311                1330464           19152              7531    0.004311   0.000858           7061              4893
P5_A10_GRH_RUM_FAR_SP      7     400732               400586                84182                 316404            5644              2657    0.001759   0.000728           2603              2045
P5_A11_GRH_PIS_LAW_SP      7     983239               982883               205318                 777565           13184              5714    0.003237   0.000776           5502              4337
P5_A12_GRH_PIS_LAW_SP      7    1231191              1230750               252731                 978019           19360              7554    0.004238   0.000865           7106              5049
P5_B01_GRH_RUM_HAM_SP      7    1446197              1445733               284943                1160790           18422              7427    0.004465   0.000830           7054              5104
P5_B02_GRH_PIS_LAW_SP      7     241291               241227                48567                 192660            8765              2919    0.004346   0.000958           2769              2244
P5_B03_GRH_PIS_STA_SP      7     988810               988432               203815                 784617           14052              5579    0.003330   0.000806           5350              4150
P5_B04_GRH_BEL_KEY_SP      7    1314820              1314518               275181                1039337           13068              6641    0.002705   0.000751           6423              4255
P5_B06_GRH_PIS_STA_SP      7    3100969              3100260               646857                2453403           27665             13600    0.004231   0.000810          12849              5998
P5_B08_GRH_RUM_TER_SP      7     788894               787921               163194                 624727           16048              5520    0.004021   0.000843           5213              3958
P5_B09_GRH_PIS_LAW_SP      7     306061               305948                64397                 241551            9638              3342    0.003440   0.000976           3201              2496
P5_B10_GRH_RUM_FAR_SP      7     674746               674605               140344                 534261            5764              2707    0.001841   0.000642           2640              2053
P5_B11_GRH_PIS_LAW_SP      7     401709               401504                83312                 318192            8451              2761    0.002272   0.000908           2683              1926
P5_C01_GRH_RUM_HAM_SP      7    3375118              3373455               676628                2696827           27560             13646    0.004786   0.000825          12724              6152
P5_C02_GRH_PIS_LAW_SP      7    1885667              1885021               388685                1496336           20647              9102    0.004076   0.000845           8638              5446
P5_C03_GRH_PIS_STA_SP      7    1954936              1954320               405946                1548374           14579              5770    0.003276   0.000718           5539              3873
P5_C04_GRH_PIS_LAW_SP      7    3414426              3413575               718902                2694673           22525             10732    0.003970   0.000756          10250              5764
P5_C06_GRH_PIS_STA_SP      7    3382084              3381144               709593                2671551           26773             13742    0.003921   0.000826          13011              6043
P5_C08_GRH_PIS_LAW_SP      7    1108124              1107847               228146                 879701           13901              6027    0.003045   0.000771           5814              4177
P5_C09_GRH_PIS_LAW_SP      7     463312               463152                97299                 365853            6045              2755    0.001920   0.000770           2691              2096
P5_C10_GRH_RUM_FAR_SP      7     643993               643764               134494                 509270            9788              4048    0.003354   0.000761           3913              3135
P5_C11_GRH_PIS_LAW_SP      7     431578               431354                88293                 343061            9699              3299    0.002920   0.000808           3186              2578
P5_C12_GRH_PIS_LAW_SP      7     416150               416021                83406                 332615            9559              3932    0.003318   0.000804           3783              2915
P5_D01_GRH_RUM_HAM_SP      7     708503               708330               142806                 565524           12990              5479    0.004220   0.000835           5238              4190
P5_D03_GRH_PIS_STA_SP      7    4177501              4175296               848785                3326511           22010              9284    0.004365   0.000732           8757              5539
P5_D04_GRH_PIS_LAW_SP      7    2658152              2657143               543731                2113412           21075              9838    0.004007   0.000699           9366              5542
P5_D06_GRH_PIS_STA_SP      7     763430               763088               156265                 606823           16197              6695    0.003601   0.000846           6388              4296
P5_D07_GRH_PIS_STA_SP      7     355707               355632                73227                 282405           10750              4130    0.004232   0.000937           3933              3233
P5_D08_GRH_PIS_LAW_SP      7     988696               988389               203349                 785040            9220              3330    0.002500   0.000686           3208              2353
P5_D09_GRH_PIS_STA_SP      7    1000197               999887               206685                 793202           12169              5033    0.002821   0.000737           4861              3752
P5_D10_GRH_RUM_FAR_SP      7     167844               167594                33459                 134135            5508              1853    0.002646   0.000847           1802              1461
P5_D11_GRH_PIS_LAW_SP      7    1013047              1012813               206843                 805970           10749              4978    0.002940   0.000793           4822              3744
P5_D12_GRH_PIS_LAW_SP      7    1453079              1452408               295542                1156866           17644              7433    0.003731   0.000809           7096              4967
P5_E02_GRH_PIS_LAW_SP      7    1243551              1243223               207099                1036124           15078              6287    0.004279   0.000900           6002              4601
P5_E04_GRH_PIS_LAW_SP      7    1510278              1509562               309338                1200224           21233              8365    0.004739   0.000873           7833              5280
P5_E05_GRH_RUM_TER_SP      7    1640308              1639546               343512                1296034           19179              8416    0.003564   0.000812           8007              5006
P5_E07_GRH_RUM_TER_SP      7    1270550              1270195               265699                1004496           17178              7923    0.003703   0.000767           7589              5063
P5_E08_GRH_PIS_LAW_SP      7    1295667              1295304               270259                1025045           19283              7322    0.004740   0.001055           6905              4977
P5_E09_GRH_PIS_STA_SP      7    1138866              1138408               234922                 903486           13241              5348    0.003386   0.000772           5134              3830
P5_E10_GRH_RUM_FAR_SP      7     330905               330788                70130                 260658            8570              3336    0.003104   0.000819           3199              2504
P5_E11_GRH_PIS_LAW_SP      7    1278143              1277347               263912                1013435           13677              4905    0.002899   0.000739           4692              3134
P5_E12_GRH_PIS_LAW_SP      7     638652               638479               135763                 502716            6611              2811    0.001886   0.000685           2737              2134
P5_F03_GRH_PIS_STA_SP      7    1840271              1839557               383441                1456116           17173              7046    0.003603   0.000774           6741              4781
P5_F04_GRH_PIS_LAW_SP      7    3668613              3667103               743953                2923150           27443             13165    0.004376   0.000785          12325              6105
P5_F05_GRH_RUM_TER_SP      7    1108795              1107866               230987                 876879           18532              7049    0.003780   0.000807           6673              4712
P5_F06_GRH_PIS_STA_SP      7     731346               731131               153103                 578028           11025              4280    0.002485   0.000828           4144              2816
P5_F07_GRH_RUM_TER_SP      7     713247               713066               142830                 570236           10871              4823    0.003087   0.000751           4656              3611
P5_F08_GRH_PIS_LAW_SP      7    1012450              1012224               212769                 799455           17293              7715    0.004010   0.000823           7365              4876
P5_F10_GRH_RUM_FAR_SP      7    1480217              1479861               302822                1177039           13333              5606    0.002822   0.000746           5406              3653
P5_F11_GRH_PIS_LAW_SP      7     564545               563842               119035                 444807           11794              3934    0.002850   0.000792           3778              2796
P5_F12_GRH_BEL_KEY_SP      7    1826876              1826227               377594                1448633           13141              5324    0.003066   0.000715           5110              3680
P5_G02_GRH_PIS_STA_SP      7    1029641              1029425               212045                 817380           12773              5885    0.003731   0.000771           5653              4389
P5_G03_GRH_PIS_STA_SP      7     620712               620126               125013                 495113           14369              4442    0.003359   0.000847           4233              3167
P5_G04_GRH_BEL_KEY_SP      7    4704189              4702950               942362                3760588           27857             13648    0.004317   0.000777          12834              6199
P5_G05_GRH_PIS_STA_SP      7    2206908              2206026               455074                1750952           20541              8847    0.004057   0.000807           8399              5390
P5_G06_GRH_PIS_STA_SP      7    2722236              2720643               559150                2161493           21990             10136    0.003920   0.000764           9591              5445
P5_G07_GRH_RUM_TER_SP      7    3777247              3775610               772391                3003219           23345             12293    0.003661   0.000828          11648              5805
P5_G08_GRH_PIS_LAW_SP      7     998293               998042               204161                 793881           15880              6525    0.006497   0.001098           6145              4586
P5_G09_GRH_BEL_KEY_SP      7    1136471              1136076               232596                 903480           12721              5619    0.003061   0.000714           5428              4032
P5_G10_GRH_RUM_FAR_SP      7    3078307              3077302               636169                2441133           19156              7893    0.003853   0.000703           7492              4954
